"","species","range","lat_poleward","abund","bleach","restore","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","clipperton","species_n"
"138","Cyphastrea agassizi",0.38763338509587,0.612318531711189,0.5,0.7825,0.833333333333333,2,2,2,2,4,1,1,0,"Species 127"
"139","Cyphastrea chalcidicum",0.650657413611007,0.799449655837345,1,1,0.833333333333333,2,2,2,2,4,1,1,0,"Species 128"
"140","Cyphastrea decadia",0.249134683749522,0.621497941362123,0.5,0.9921,1,4,2,4,2,4,3,4,0,"Species 129"
"141","Cyphastrea microphthalma",0.727858575350595,0.823345037087905,1,0.9346,0.833333333333333,2,2,2,2,4,1,1,0,"Species 130"
"142","Cyphastrea ocellina",0.318310284394995,0.617074605982874,0.1,0.945,0.833333333333333,1,2,2,2,4,1,1,0,"Species 131"
"143","Cyphastrea serailia",0.732527630655972,0.876348342095618,1,0.9136,0.833333333333333,1,2,2,2,4,1,1,0,"Species 132"
"144","Danafungia horrida",0.587298395547623,0.802878398063086,1,1,0.833333333333333,2,5,1,3,1,1,1,0,"Species 133"
"146","Diploastrea heliopora",0.5449790835924,0.754219257430654,1,0.8006,0.833333333333333,1,3,5,4,4,1,1,0,"Species 134"
"147","Dipsastraea amicorum",0.541897866053986,0.820429577261988,0.5,0.6696,0.833333333333333,2,4,2,3,4,1,1,0,"Species 135"
"148","Dipsastraea danai",0.366295063876213,0.79557353508179,0.5,0.6257,0.833333333333333,2,3,2,3,4,1,1,0,"Species 136"
"149","Dipsastraea favus",0.703241291023449,0.850872120486212,1,0.6795,0.833333333333333,2,3,1,3,4,1,1,0,"Species 137"
"150","Dipsastraea helianthoides",0.534832605440468,0.739808482102167,1,0.6696,0.833333333333333,2,3,2,3,3,1,1,0,"Species 138"
"151","Dipsastraea laddi",0.292852972933919,0.634551041725575,0.1,0.6696,0.833333333333333,2,3,2,3,4,1,1,0,"Species 139"
"152","Dipsastraea laxa",0.362151384534735,0.824869532254785,0.5,0.585,0.833333333333333,2,2,2,3,4,1,1,0,"Species 140"
"153","Dipsastraea lizardensis",0.463851637945416,0.752675204737797,0.5,0.24,0.833333333333333,2,4,2,3,4,1,1,0,"Species 141"
"154","Dipsastraea maritima",0.483234327386604,0.869208727210522,0.5,0.9327,0.833333333333333,2,4,2,3,4,1,1,0,"Species 142"
"155","Dipsastraea matthaii",0.724106918464202,0.853155107144787,1,0.6813,0.833333333333333,2,4,2,3,4,1,1,0,"Species 143"
"156","Dipsastraea maxima",0.341622714172933,0.778247607406239,0.1,0.84,0.833333333333333,2,5,2,3,4,1,1,0,"Species 144"
"157","Dipsastraea pallida",0.726286500997083,0.849846689591761,1,0.4496,0.833333333333333,1,3,2,2,4,1,1,0,"Species 145"
"158","Dipsastraea rosaria",0.163871165823686,0.780522009274952,0.1,0.6696,0.5,1,3,2,4,1,2,1,0,"Species 146"
"159","Dipsastraea rotumana",0.710999016771942,0.851299715496785,0.5,0.7696,0.833333333333333,2,4,2,3,4,1,1,0,"Species 147"
"160","Dipsastraea speciosa",0.689073521991944,0.860447350691776,1,0.664,0.833333333333333,2,3,2,3,4,1,1,0,"Species 148"
"161","Dipsastraea truncata",0.325107220397109,0.766686953016816,1,0.6696,0.833333333333333,2,3,2,3,4,1,1,0,"Species 149"
"162","Dipsastraea veroni",0.464009276701031,0.734932788463541,0.1,0.6696,0.833333333333333,2,4,2,3,4,1,1,0,"Species 150"
"163","Dipsastraea vietnamensis",0.148002802655626,0.613651295227044,0.1,0.6696,0.833333333333333,2,4,2,3,4,1,1,0,"Species 151"
"164","Echinophyllia aspera",0.715849657544992,0.860447350691776,1,0.8944,0.666666666666667,1,3,3,4,2,4,2,0,"Species 152"
"165","Echinophyllia echinata",0.634333131995229,0.846892616428784,0.1,0.8887,0.666666666666667,1,4,1,4,2,4,2,0,"Species 153"
"166","Echinophyllia echinoporoides",0.149008337504921,0.795770900070348,0.5,0.8887,0.5,1,2,2,4,1,2,1,0,"Species 154"
"167","Echinophyllia orpheensis",0.386568260914347,0.836979937660708,0.5,1,0.833333333333333,1,3,1,4,3,1,1,0,"Species 155"
"168","Echinopora gemmacea",0.675627881163936,0.841664944928698,0.5,0.6844,0.666666666666667,3,2,3,4,2,4,2,0,"Species 156"
"169","Echinopora hirsutissima",0.513312594025442,0.831047260972253,0.5,0.8624,0.833333333333333,2,2,2,3,3,1,1,0,"Species 157"
"170","Echinopora horrida",0.342079921181502,0.804503051573501,0.5,0.9921,0.5,3,2,5,3,2,3,2,0,"Species 158"
"171","Echinopora lamellosa",0.728939095230377,0.817014370260251,1,0.9113,0.666666666666667,3,2,5,4,2,4,2,0,"Species 159"
