"","master_species","family_molecules","Age.at.maturity","Calcification.rate","Chlorophyll.a","Coloniality","Corallite.width.maximum","Gross.photosynthesis","Growth.form.typical","Growth.rate","Ocean.basin","Oocyte.size.at.maturity","Polyp.fecundity","Polyps.per.area","Propagule.size.on.release","Protein.biomass","Skeletal.density","Tissue.thickness","Total.biomass","Zooxanthellate","Colony.maximum.diameter","Genus","Species"
"606","Mussa angulosa","Mussidae",NA,NA,NA,"both",1.77815125038364,NA,"massive",NA,"atlantic",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Mussa","angulosa"
"607","Mussismilia braziliensis","Mussidae",NA,NA,NA,"colonial",1.17318626841227,NA,"massive",0.903089986991944,"atlantic",2.59250984790068,NA,-0.0172766123314547,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Mussismilia","braziliensis"
"608","Mussismilia harttii","Mussidae",NA,NA,NA,"colonial",1.30102999566398,NA,"massive",NA,"atlantic",2.61373614126187,NA,1.30642502755069,NA,NA,NA,NA,NA,"zooxanthellate",2,"Mussismilia","harttii"
"609","Mussismilia hispida","Mussidae",NA,NA,NA,"colonial",1.31175386105575,NA,"massive",NA,"atlantic",2.65953590715422,NA,-0.449771646944906,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Mussismilia","hispida"
"610","Mussismilia leptophylla","Mussidae",NA,NA,NA,"colonial",1.00860017176192,NA,"massive",NA,"atlantic",NA,NA,0.156246190397344,NA,NA,NA,NA,NA,"zooxanthellate",2,"Mussismilia","leptophylla"
"611","Mycedium elephantotus","Merulinidae",NA,NA,NA,"colonial",1,NA,"laminar",NA,"pacific",2.58939102313693,NA,-0.350665141287858,2.63346845557959,NA,NA,NA,NA,"zooxanthellate",2.47712125471966,"Mycedium","elephantotus"
"612","Mycedium mancaoi","Merulinidae",NA,NA,NA,"colonial",0.857332496431269,NA,"laminar",NA,"pacific",NA,NA,-0.0570004066339595,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Mycedium","mancaoi"
"613","Mycedium robokaki","Merulinidae",NA,NA,NA,"colonial",0.857332496431269,NA,"laminar",NA,"pacific",NA,NA,-0.0947439512515487,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Mycedium","robokaki"
"614","Mycedium spina","Merulinidae",NA,NA,NA,NA,0.982271233039568,NA,"laminar",NA,NA,NA,NA,0.0413926851582251,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Mycedium","spina"
"615","Mycedium steeni","Merulinidae",NA,NA,NA,"colonial",0.491361693834273,NA,"laminar",NA,"pacific",NA,NA,-0.0655015487564323,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Mycedium","steeni"
"616","Mycedium umbra","Merulinidae",NA,NA,NA,"colonial",1.23044892137827,NA,"encrusting",NA,"pacific",NA,NA,-0.609064892896621,NA,NA,NA,NA,NA,"zooxanthellate",2,"Mycedium","umbra"
"617","Mycetophyllia aliciae","Mussidae",NA,NA,NA,"colonial",1.30102999566398,NA,"massive",NA,"atlantic",NA,NA,-0.175874166083451,NA,NA,NA,NA,NA,"zooxanthellate",1.13353890837022,"Mycetophyllia","aliciae"
"618","Mycetophyllia danaana","Mussidae",NA,NA,NA,"colonial",1.13987908640124,NA,"encrusting",NA,"atlantic",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Mycetophyllia","danaana"
"619","Mycetophyllia ferox","Mussidae",NA,NA,NA,"colonial",1.04139268515823,NA,"laminar",NA,"atlantic",NA,1.8750612633917,0.028977705208778,NA,NA,NA,NA,NA,"zooxanthellate",1.34242268082221,"Mycetophyllia","ferox"
"620","Mycetophyllia lamarckiana","Mussidae",NA,NA,NA,"colonial",1.26717172840301,NA,"encrusting",NA,"atlantic",NA,NA,-0.177178354696895,NA,NA,NA,NA,NA,"zooxanthellate",1.12385164096709,"Mycetophyllia","lamarckiana"
"621","Mycetophyllia reesi","Mussidae",NA,NA,NA,"colonial",1,NA,"laminar",NA,"atlantic",NA,NA,-0.0310503190186574,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Mycetophyllia","reesi"
"622","Nemenzophyllia turbida","Plesiastreidae",NA,NA,NA,"colonial",1.11394335230684,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Nemenzophyllia","turbida"
"623","Oculina arbuscula","Oculinidae",NA,NA,NA,"colonial",NA,NA,NA,NA,"atlantic",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.69897000433602,"Oculina","arbuscula"
"624","Oculina diffusa","Oculinidae",NA,NA,NA,"colonial",0.755874855672491,NA,"branching_closed",NA,"atlantic",NA,NA,NA,NA,NA,NA,NA,NA,"both",NA,"Oculina","diffusa"
"625","Oculina patagonica","Oculinidae",NA,NA,NA,"colonial",0.518513939877887,NA,"branching_closed",NA,"atlantic",NA,NA,1.01790939589669,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Oculina","patagonica"
"626","Oculina robusta","Oculinidae",NA,NA,NA,"colonial",0.568201724066995,NA,"branching_open",NA,"atlantic",NA,NA,0.735519058815171,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Oculina","robusta"
"627","Oculina tenella","Oculinidae",NA,NA,NA,"colonial",0.431363764158987,NA,NA,NA,"atlantic",NA,NA,NA,NA,NA,NA,NA,NA,"both",NA,"Oculina","tenella"
"628","Oculina valenciennesi","Oculinidae",NA,NA,NA,"colonial",0.431363764158987,NA,"branching_closed",NA,"atlantic",NA,NA,0.520483532740792,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Oculina","valenciennesi"
"629","Oculina varicosa","Oculinidae",NA,NA,NA,"colonial",0.612783856719735,NA,"branching_closed",NA,"atlantic",1.84135947045486,2.7481880270062,NA,NA,NA,NA,NA,NA,"both",1.69897000433602,"Oculina","varicosa"
"630","Orbicella annularis","Merulinidae",0.602059991327962,-0.454074670644157,0.8637985386805,"colonial",0.493458050995188,0.44549300253508,"massive",0.847340302702818,"atlantic",NA,2.01577875638904,0.799375015901908,2.49415459401844,0.804480189105993,0.231897039289405,NA,0.820559403700926,"zooxanthellate",2.90308998699194,"Orbicella","annularis"
"631","Orbicella faveolata","Merulinidae",NA,NA,1.1296898921993,"colonial",0.409933123331295,0.322632711692223,"massive",0.941782386879588,"atlantic",NA,2.07936216439305,NA,2.50447086249442,NA,0.0718820073061254,-0.619788758288394,0.960513810886479,"zooxanthellate",3,"Orbicella","faveolata"
"632","Orbicella franksi","Merulinidae",NA,NA,0.790285164033242,"colonial",0.474944335465388,NA,"massive",0.717358397719765,"atlantic",NA,1.77085201164214,NA,2.52504480703685,-0.384576047114056,NA,NA,0.767685936260184,"zooxanthellate",2.69897000433602,"Orbicella","franksi"
"633","Oulastrea crispata","Incertae sedis",NA,NA,NA,"colonial",0.7481880270062,NA,"encrusting",NA,"pacific",2.11394335230684,NA,0.619093330626743,2.11394335230684,NA,NA,NA,NA,"zooxanthellate",NA,"Oulastrea","crispata"
"634","Oulophyllia bennettae","Merulinidae",NA,NA,NA,"colonial",1.2405492482826,NA,"massive",NA,"pacific",NA,NA,-0.30803489723264,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Oulophyllia","bennettae"
"635","Oulophyllia crispa","Merulinidae",NA,NA,NA,"colonial",1.06445798922692,NA,"massive",1.32221929473392,"pacific",NA,NA,0.00732095292274456,NA,NA,NA,NA,NA,"zooxanthellate",2,"Oulophyllia","crispa"
"636","Oulophyllia levis","Merulinidae",NA,NA,NA,"colonial",1.25767857486918,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Oulophyllia","levis"
"637","Oxypora convoluta","Lobophylliidae",NA,NA,NA,"colonial",0.863322860120456,NA,"laminar",NA,"pacific",NA,NA,-0.0371573187987575,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Oxypora","convoluta"
"638","Oxypora crassispinosa","Lobophylliidae",NA,NA,NA,"colonial",0.944482672150169,NA,"laminar",NA,"pacific",NA,NA,-0.289882634888184,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Oxypora","crassispinosa"
"639","Oxypora egyptensis","Lobophylliidae",NA,NA,NA,"colonial",1.05307844348342,NA,"massive",NA,"pacific",NA,NA,-0.774690718274137,NA,NA,NA,NA,NA,"zooxanthellate",2,"Oxypora","egyptensis"
"640","Oxypora glabra","Lobophylliidae",NA,NA,NA,"colonial",0.8750612633917,NA,"laminar",NA,"pacific",NA,NA,-0.146301788223826,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Oxypora","glabra"
"641","Oxypora lacera","Lobophylliidae",NA,NA,NA,"colonial",0.944482672150169,NA,"laminar",NA,"pacific",NA,NA,-0.115204636051019,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Oxypora","lacera"
"642","Pachyseris foliosa","Pachyseridae",NA,NA,NA,"colonial",0.799340549453582,NA,"laminar",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pachyseris","foliosa"
"643","Pachyseris gemmae","Pachyseridae",NA,NA,NA,"colonial",0.518513939877887,NA,"laminar",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pachyseris","gemmae"
"644","Pachyseris inattesa","Pachyseridae",NA,NA,NA,NA,0.612783856719735,NA,"laminar",NA,NA,NA,NA,0.869231719730976,NA,NA,NA,NA,NA,"zooxanthellate",1.39794000867204,"Pachyseris","inattesa"
"645","Pachyseris involuta","Pachyseridae",NA,NA,NA,"colonial",0.612783856719735,NA,"laminar",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pachyseris","involuta"
"646","Pachyseris rugosa","Pachyseridae",NA,NA,NA,"colonial",0.681241237375587,NA,"laminar",NA,"pacific",2.53019969820308,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",3,"Pachyseris","rugosa"
"647","Pachyseris speciosa","Pachyseridae",NA,NA,NA,"colonial",0.662757831681574,NA,"laminar",NA,"pacific",2.5327543789925,NA,NA,2.56584781867352,NA,NA,NA,NA,"zooxanthellate",0.301029995663981,"Pachyseris","speciosa"
"648","Palauastrea ramosa","Pocilloporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"branching_closed",NA,"pacific",2.55144999797288,NA,1.55361605972938,2.55144999797288,NA,NA,NA,NA,"zooxanthellate",NA,"Palauastrea","ramosa"
"649","Paragoniastrea australensis","Merulinidae",0.602059991327962,NA,NA,"colonial",1,NA,"massive",0.531478917042255,"pacific",2.62013605497376,NA,NA,2.62013605497376,NA,NA,NA,NA,"zooxanthellate",NA,"Paragoniastrea","australensis"
"650","Paragoniastrea deformis","Merulinidae",NA,NA,NA,"colonial",0.944482672150169,NA,"massive",NA,"pacific",NA,NA,0.302979936748249,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Paragoniastrea","deformis"
"651","Paragoniastrea russelli","Merulinidae",NA,NA,NA,"colonial",1.20411998265592,NA,"massive",NA,"pacific",2.53402610605613,NA,0.134177107576766,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Paragoniastrea","russelli"
"652","Paramontastraea peresi","Merulinidae",NA,NA,NA,"colonial",1.09691001300806,NA,"massive",NA,"pacific",NA,NA,0.0301947853567512,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Paramontastraea","peresi"
"653","Paramontastraea salebrosa","Merulinidae",NA,NA,NA,"colonial",0.672097857935718,NA,"massive",NA,"pacific",NA,NA,0.706290957258763,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Paramontastraea","salebrosa"
"654","Paramontastraea serageldini","Merulinidae",NA,NA,NA,"colonial",0.698970004336019,NA,"massive",NA,"pacific",NA,NA,0.475089803389007,NA,NA,NA,NA,NA,"zooxanthellate",1.90308998699194,"Paramontastraea","serageldini"
"655","Parascolymia rowleyensis","Lobophylliidae",NA,NA,NA,"colonial",1.12710479836481,NA,"massive",NA,"pacific",NA,NA,0.328787200354535,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Parascolymia","rowleyensis"
"656","Parascolymia vitiensis","Lobophylliidae",NA,NA,NA,"both",1.84509804001426,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.33243845991561,"Parascolymia","vitiensis"
"657","Pavona bipartita","Agariciidae",NA,NA,NA,"colonial",0.491361693834273,NA,"massive",NA,"pacific",NA,NA,1.00906827619222,NA,NA,NA,NA,NA,"zooxanthellate",2,"Pavona","bipartita"
"658","Pavona cactus","Agariciidae",NA,NA,NA,"colonial",0.146128035678238,NA,"digitate",1.57892558945877,"pacific",NA,NA,1.31268500638876,NA,NA,NA,NA,NA,"zooxanthellate",3,"Pavona","cactus"
"659","Pavona chiriquiensis","Agariciidae",NA,NA,NA,"colonial",0.146128035678238,NA,"encrusting",NA,"pacific",NA,NA,1.36195436535346,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","chiriquiensis"
"660","Pavona clavus","Agariciidae",NA,NA,NA,"colonial",0.531478917042255,NA,"columnar",1.15248561646544,"pacific",NA,NA,1.13165073808954,NA,NA,0.221414237842339,NA,NA,"zooxanthellate",3.30102999566398,"Pavona","clavus"
"661","Pavona danai","Agariciidae",NA,NA,NA,"colonial",0.230448921378274,NA,"digitate",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","danai"
"662","Pavona decussata","Agariciidae",NA,NA,NA,"colonial",0.544068044350276,NA,"digitate",NA,"pacific",2,NA,0.948168361727132,NA,NA,NA,NA,NA,"zooxanthellate",1.30102999566398,"Pavona","decussata"
"663","Pavona diffluens","Agariciidae",NA,NA,NA,"colonial",0.414973347970818,NA,"massive",NA,"pacific",NA,NA,1.07313156494099,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","diffluens"
"664","Pavona divaricata","Agariciidae",NA,NA,NA,"colonial",0.301029995663981,NA,"digitate",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","divaricata"
"665","Pavona duerdeni","Agariciidae",NA,NA,NA,"colonial",0.322219294733919,NA,"massive",1.00860017176192,"pacific",NA,NA,1.17002689815112,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","duerdeni"
"666","Pavona explanulata","Agariciidae",NA,NA,NA,"colonial",0.477121254719662,NA,"laminar",NA,"pacific",NA,2.38021124171161,0.449940988773338,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","explanulata"
"667","Pavona frondifera","Agariciidae",NA,NA,NA,"colonial",0.414973347970818,NA,"digitate",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","frondifera"
"668","Pavona gigantea","Agariciidae",NA,NA,NA,"colonial",0.755874855672491,NA,"massive",0.960050858255215,"pacific",2.33445375115093,2.03594406817915,1.09853989799286,NA,NA,0.19773988601815,NA,NA,"zooxanthellate",NA,"Pavona","gigantea"
"669","Pavona lata","Agariciidae",NA,NA,NA,"colonial",NA,NA,NA,NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","lata"
"670","Pavona maldivensis","Agariciidae",NA,NA,NA,"colonial",0.612783856719735,NA,"columnar",1.08098704691089,"pacific",NA,NA,0.443106456737266,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Pavona","maldivensis"
"671","Pavona minuta","Agariciidae",NA,NA,NA,"colonial",0.518513939877887,NA,"massive",NA,"pacific",NA,NA,1.0391363992221,NA,NA,NA,NA,NA,"zooxanthellate",3,"Pavona","minuta"
"672","Pavona varians","Agariciidae",0.698970004336019,NA,NA,"colonial",0.968482948553935,NA,"encrusting",0.57978359661681,"pacific",NA,1.81690383937566,0.479863113023098,NA,NA,0.293362554711446,NA,NA,"zooxanthellate",NA,"Pavona","varians"
"673","Pavona venosa","Agariciidae",NA,NA,NA,"colonial",0.968482948553935,NA,"encrusting",NA,"pacific",NA,NA,0.546789351631258,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","venosa"
"674","Pavona xarifae","Agariciidae",NA,NA,NA,"colonial",NA,NA,NA,NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pavona","xarifae"
"675","Pectinia africanus","Merulinidae",NA,NA,NA,"colonial",1.22010808804006,NA,"massive",NA,"pacific",NA,NA,-0.924453038607469,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Pectinia","africanus"
"676","Pectinia alcicornis","Merulinidae",NA,NA,NA,"colonial",1.32633586092875,NA,"digitate",NA,"pacific",2.54406804435028,NA,NA,2.54406804435028,NA,NA,NA,NA,"zooxanthellate",NA,"Pectinia","alcicornis"
"677","Pectinia crassa","Merulinidae",NA,NA,NA,NA,1.38021124171161,NA,"laminar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pectinia","crassa"
"678","Pectinia elongata","Merulinidae",NA,NA,NA,"colonial",1.04139268515823,NA,"branching_closed",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pectinia","elongata"
"679","Pectinia lactuca","Merulinidae",NA,NA,NA,"colonial",1.47712125471966,NA,"encrusting",NA,"pacific",NA,NA,-0.795880017344075,NA,NA,NA,NA,NA,"zooxanthellate",2,"Pectinia","lactuca"
"680","Pectinia maxima","Merulinidae",NA,NA,NA,"colonial",1.17609125905568,NA,"laminar",NA,"pacific",NA,NA,-0.602059991327962,NA,NA,NA,NA,NA,"zooxanthellate",2,"Pectinia","maxima"
"681","Pectinia paeonia","Merulinidae",NA,NA,NA,"colonial",1.54406804435028,NA,"laminar",NA,"pacific",2.54406804435028,NA,NA,2.54406804435028,NA,NA,NA,NA,"zooxanthellate",2,"Pectinia","paeonia"
"682","Pectinia pygmaeus","Merulinidae",NA,NA,NA,"colonial",0.672097857935718,NA,"branching_closed",NA,"pacific",NA,NA,0.0232524596337114,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pectinia","pygmaeus"
"683","Pectinia teres","Merulinidae",NA,NA,NA,"colonial",0.792391689498254,NA,"branching_closed",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pectinia","teres"
"684","Physogyra lichtensteini","Plesiastreidae",NA,NA,NA,"colonial",1.30102999566398,NA,"massive",NA,"pacific",2.7086333210154,NA,-0.603800652904264,2.70867579272654,NA,NA,NA,NA,"zooxanthellate",2,"Physogyra","lichtensteini"
"685","Physophyllia ayleni","Merulinidae",NA,NA,NA,"colonial",1.17609125905568,NA,"laminar",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Physophyllia","ayleni"
"686","Platygyra acuta","Merulinidae",NA,NA,NA,"colonial",0.716003343634799,NA,"massive",NA,"pacific",NA,NA,-0.0404816230270017,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Platygyra","acuta"
"687","Platygyra carnosus","Merulinidae",NA,NA,NA,"colonial",0.698970004336019,NA,"massive",NA,"pacific",NA,NA,0.562887381293879,NA,NA,NA,NA,NA,"zooxanthellate",1.60205999132796,"Platygyra","carnosus"
"688","Platygyra contorta","Merulinidae",NA,NA,NA,"colonial",0.7481880270062,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Platygyra","contorta"
"689","Platygyra crosslandi","Merulinidae",NA,NA,NA,"colonial",0.770852011642144,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Platygyra","crosslandi"
"690","Platygyra daedalea","Merulinidae",NA,NA,NA,"colonial",1,NA,"massive",1.34242268082221,"pacific",2.58845846000879,1,NA,2.57287160220048,NA,NA,NA,NA,"zooxanthellate",1.84509804001426,"Platygyra","daedalea"
"691","Platygyra lamellina","Merulinidae",NA,NA,NA,"colonial",0.959041392321094,NA,"massive",0.869231719730976,"pacific",2.61804809671209,2.8750612633917,0.205204363948145,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Platygyra","lamellina"
"692","Platygyra pini","Merulinidae",NA,NA,NA,"colonial",0.857332496431269,NA,"massive",NA,"pacific",2.64443858946784,NA,0.312600439261259,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Platygyra","pini"
"693","Platygyra ryukyuensis","Merulinidae",NA,NA,NA,"colonial",0.518513939877887,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Platygyra","ryukyuensis"
"694","Platygyra sinensis","Merulinidae",0.75966784468963,NA,NA,"colonial",0.826074802700826,NA,"massive",0.923632533177048,"pacific",2.61436983954829,2.01703333929878,0.612783856719735,2.59659709562646,NA,NA,NA,NA,"zooxanthellate",NA,"Platygyra","sinensis"
"695","Platygyra verweyi","Merulinidae",NA,NA,NA,"colonial",0.672097857935718,NA,"massive",NA,"pacific",NA,NA,0.923140356025201,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Platygyra","verweyi"
"696","Platygyra yaeyamaensis","Merulinidae",NA,NA,NA,"colonial",0.707570176097936,NA,"massive",NA,"pacific",NA,NA,0.567966906823154,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Platygyra","yaeyamaensis"
"697","Plerogyra cauliformis","Plesiastreidae",NA,NA,NA,NA,1.44715803134222,NA,"massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Plerogyra","cauliformis"
"698","Plerogyra diabolotus","Plesiastreidae",NA,NA,NA,NA,1.51851393987789,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Plerogyra","diabolotus"
"699","Plerogyra discus","Plesiastreidae",NA,NA,NA,"colonial",1.31806333496276,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.47712125471966,"Plerogyra","discus"
"700","Plerogyra eurysepta","Plesiastreidae",NA,NA,NA,"colonial",NA,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Plerogyra","eurysepta"
"701","Plerogyra multilobata","Plesiastreidae",NA,NA,NA,NA,1.32221929473392,NA,"massive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Plerogyra","multilobata"
"702","Plerogyra simplex","Plesiastreidae",NA,NA,NA,"colonial",1.30102999566398,NA,"branching_closed",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Plerogyra","simplex"
"703","Plerogyra sinuosa","Plesiastreidae",NA,NA,NA,"colonial",1.47712125471966,NA,"massive",NA,"pacific",2.68930885912362,NA,NA,2.68930885912362,NA,NA,NA,NA,"zooxanthellate",2,"Plerogyra","sinuosa"
"704","Plerogyra turbida","Plesiastreidae",NA,NA,NA,"colonial",NA,NA,NA,NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Plerogyra","turbida"
"705","Plesiastrea versipora","Plesiastreidae",NA,NA,NA,"colonial",0.662757831681574,NA,"massive",0.616738006783775,"pacific",NA,NA,0.754654069255432,NA,NA,NA,NA,NA,"zooxanthellate",2.47712125471966,"Plesiastrea","versipora"
"706","Pleuractis granulosa","Fungiidae",NA,NA,NA,"solitary",2.07918124604762,NA,"massive",0.757825472944521,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.13033376849501,"Pleuractis","granulosa"
"707","Pleuractis gravis","Fungiidae",NA,NA,NA,"solitary",2.24303804868629,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.24303804868629,"Pleuractis","gravis"
"708","Pleuractis moluccensis","Fungiidae",NA,NA,NA,"solitary",2.20411998265592,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.20411998265592,"Pleuractis","moluccensis"
"709","Pleuractis paumotensis","Fungiidae",NA,NA,NA,"solitary",2.37106786227174,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.39794000867204,"Pleuractis","paumotensis"
"710","Pleuractis seychellensis","Fungiidae",NA,NA,NA,"solitary",1.9484129657786,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.17609125905568,"Pleuractis","seychellensis"
"711","Pleuractis taiwanensis","Fungiidae",NA,NA,NA,"solitary",2.28555730900777,NA,"massive",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",1.44715803134222,"Pleuractis","taiwanensis"
"712","Pocillopora acuta","Pocilloporidae",NA,NA,NA,NA,0.113943352306837,NA,"branching_closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pocillopora","acuta"
"713","Pocillopora aliciae","Pocilloporidae",NA,NA,NA,NA,0.0413926851582251,NA,"branching_closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pocillopora","aliciae"
"714","Pocillopora ankeli","Pocilloporidae",NA,NA,NA,"colonial",0,NA,"branching_closed",NA,"pacific",NA,NA,1.9608321428207,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pocillopora","ankeli"
"715","Pocillopora bairdi","Pocilloporidae",NA,NA,NA,NA,0,NA,"branching_closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pocillopora","bairdi"
"716","Pocillopora brevicornis","Pocilloporidae",NA,NA,NA,NA,-0.0457574905606751,NA,"branching_closed",NA,"pacific",NA,NA,NA,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pocillopora","brevicornis"
"717","Pocillopora capitata","Pocilloporidae",NA,NA,NA,"colonial",-0.397940008672038,NA,"branching_open",NA,"pacific",NA,NA,1.98103898549797,NA,NA,NA,NA,NA,"zooxanthellate",NA,"Pocillopora","capitata"
"718","Pocillopora damicornis","Pocilloporidae",NA,-0.397158981318542,0.796889564756463,"colonial",0,0.763427993562937,"branching_closed",1.5416241686383,"pacific",2.06445798922692,1.35218251811136,1.72808310922848,3.02160271602824,-0.588169930999524,0.284806583700867,-0.0457574905606751,NA,"zooxanthellate",2.30102999566398,"Pocillopora","damicornis"
"719","Pocillopora danae","Pocilloporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"branching_open",0.913813852383717,"pacific",NA,NA,1.81470695883036,NA,NA,NA,NA,NA,"zooxanthellate",2,"Pocillopora","danae"
"720","Pocillopora effusa","Pocilloporidae",NA,NA,NA,"colonial",0.0413926851582251,NA,"branching_open",NA,"pacific",NA,NA,2.14478274341533,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Pocillopora","effusa"
"721","Pocillopora elegans","Pocilloporidae",NA,NA,-0.142667503568732,"colonial",0,NA,"branching_closed",1.56702636615906,"pacific",NA,NA,NA,NA,NA,0.285557309007774,NA,NA,"zooxanthellate",NA,"Pocillopora","elegans"
"722","Pocillopora eydouxi","Pocilloporidae",NA,-0.721246399047171,NA,"colonial",0,0.20682587603185,"branching_open",1.62940959910272,"pacific",2.13353890837022,NA,NA,2.13353890837022,NA,NA,NA,0.332438459915605,"zooxanthellate",2,"Pocillopora","eydouxi"
"723","Pocillopora fungiformis","Pocilloporidae",NA,NA,NA,"colonial",-0.0969100130080564,NA,"columnar",NA,"pacific",NA,NA,2.29175279594738,NA,NA,NA,NA,NA,"zooxanthellate",2.30102999566398,"Pocillopora","fungiformis"
"724","Pocillopora indiania","Pocilloporidae",NA,NA,NA,"colonial",0.0791812460476248,NA,"branching_closed",NA,"pacific",NA,NA,1.77859978964288,NA,NA,NA,NA,NA,"zooxanthellate",2,"Pocillopora","indiania"
