observation_id,access,user_id,specie_id,specie_name,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
134506,1,113,824,Goniopora polyformis,1,Global estimate,,,201,281,175172,116,Genus fossil age,76,mya,22,Derived from textual description,83.5,raw_value,,,,, sepkoski cites Turnsek 1989  pbdb seems solid.
120404,1,49,824,Goniopora polyformis,1,Global estimate,,,745,,144428,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,0.483812687985405,model_derived,0.435131240866135,standard_deviation,,1000,
134505,1,113,824,Goniopora polyformis,1,Global estimate,,,201,,175171,116,Genus fossil age,76,mya,22,Derived from textual description,93.5,raw_value,,,,,
134501,1,113,824,Goniopora polyformis,1,Global estimate,,,747,,175167,208,Genus fossil stage,10,cat,22,Derived from textual description,Kimmeridgian,raw_value,,,,,
134510,1,113,825,Goniopora savignyi,1,Global estimate,,,10,,175176,116,Genus fossil age,76,mya,22,Derived from textual description,54.8,raw_value,,,,,
134508,1,113,825,Goniopora savignyi,1,Global estimate,,,747,,175174,116,Genus fossil age,76,mya,22,Derived from textual description,154,raw_value,,,,,
134512,1,113,825,Goniopora savignyi,1,Global estimate,,,201,281,175178,116,Genus fossil age,76,mya,22,Derived from textual description,83.5,raw_value,,,,, sepkoski cites Turnsek 1989  pbdb seems solid.
134511,1,113,825,Goniopora savignyi,1,Global estimate,,,201,,175177,116,Genus fossil age,76,mya,22,Derived from textual description,93.5,raw_value,,,,,
134509,1,113,825,Goniopora savignyi,1,Global estimate,,,10,,175175,208,Genus fossil stage,10,cat,22,Derived from textual description,Eocene,raw_value,,,,,
120405,1,49,825,Goniopora savignyi,1,Global estimate,,,745,,144429,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,0.52925494463137,model_derived,0.482823117495419,standard_deviation,,1000,
134507,1,113,825,Goniopora savignyi,1,Global estimate,,,747,,175173,208,Genus fossil stage,10,cat,22,Derived from textual description,Kimmeridgian,raw_value,,,,,
120406,1,49,826,Goniopora somaliensis,1,Global estimate,,,745,,144430,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,0.578728896778272,model_derived,0.526241640766136,standard_deviation,,1000,
134516,1,113,826,Goniopora somaliensis,1,Global estimate,,,10,,175182,116,Genus fossil age,76,mya,22,Derived from textual description,54.8,raw_value,,,,,
134515,1,113,826,Goniopora somaliensis,1,Global estimate,,,10,,175181,208,Genus fossil stage,10,cat,22,Derived from textual description,Eocene,raw_value,,,,,
134514,1,113,826,Goniopora somaliensis,1,Global estimate,,,747,,175180,116,Genus fossil age,76,mya,22,Derived from textual description,154,raw_value,,,,,
134518,1,113,826,Goniopora somaliensis,1,Global estimate,,,201,281,175184,116,Genus fossil age,76,mya,22,Derived from textual description,83.5,raw_value,,,,, sepkoski cites Turnsek 1989  pbdb seems solid.
134513,1,113,826,Goniopora somaliensis,1,Global estimate,,,747,,175179,208,Genus fossil stage,10,cat,22,Derived from textual description,Kimmeridgian,raw_value,,,,,
134517,1,113,826,Goniopora somaliensis,1,Global estimate,,,201,,175183,116,Genus fossil age,76,mya,22,Derived from textual description,93.5,raw_value,,,,,
134524,1,113,827,Goniopora stokesi,1,Global estimate,,,201,281,175190,116,Genus fossil age,76,mya,22,Derived from textual description,83.5,raw_value,,,,, sepkoski cites Turnsek 1989  pbdb seems solid.
120407,1,49,827,Goniopora stokesi,1,Global estimate,,,745,,144431,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,0.549389173800467,model_derived,0.493395585783196,standard_deviation,,1000,
134521,1,113,827,Goniopora stokesi,1,Global estimate,,,10,,175187,208,Genus fossil stage,10,cat,22,Derived from textual description,Eocene,raw_value,,,,,
134520,1,113,827,Goniopora stokesi,1,Global estimate,,,747,,175186,116,Genus fossil age,76,mya,22,Derived from textual description,154,raw_value,,,,,
134523,1,113,827,Goniopora stokesi,1,Global estimate,,,201,,175189,116,Genus fossil age,76,mya,22,Derived from textual description,93.5,raw_value,,,,,
134522,1,113,827,Goniopora stokesi,1,Global estimate,,,10,,175188,116,Genus fossil age,76,mya,22,Derived from textual description,54.8,raw_value,,,,,
134519,1,113,827,Goniopora stokesi,1,Global estimate,,,747,,175185,208,Genus fossil stage,10,cat,22,Derived from textual description,Kimmeridgian,raw_value,,,,,
134528,1,113,829,Goniopora sultani,1,Global estimate,,,10,,175194,116,Genus fossil age,76,mya,22,Derived from textual description,54.8,raw_value,,,,,
134527,1,113,829,Goniopora sultani,1,Global estimate,,,10,,175193,208,Genus fossil stage,10,cat,22,Derived from textual description,Eocene,raw_value,,,,,
120409,1,49,829,Goniopora sultani,1,Global estimate,,,745,,144433,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,0.502194140316802,model_derived,0.456660429303464,standard_deviation,,1000,
134530,1,113,829,Goniopora sultani,1,Global estimate,,,201,281,175196,116,Genus fossil age,76,mya,22,Derived from textual description,83.5,raw_value,,,,, sepkoski cites Turnsek 1989  pbdb seems solid.
134529,1,113,829,Goniopora sultani,1,Global estimate,,,201,,175195,116,Genus fossil age,76,mya,22,Derived from textual description,93.5,raw_value,,,,,
134525,1,113,829,Goniopora sultani,1,Global estimate,,,747,,175191,208,Genus fossil stage,10,cat,22,Derived from textual description,Kimmeridgian,raw_value,,,,,
134526,1,113,829,Goniopora sultani,1,Global estimate,,,747,,175192,116,Genus fossil age,76,mya,22,Derived from textual description,154,raw_value,,,,,
134534,1,113,354,Goniopora tantillus,1,Global estimate,,,10,,175200,116,Genus fossil age,76,mya,22,Derived from textual description,54.8,raw_value,,,,,
134532,1,113,354,Goniopora tantillus,1,Global estimate,,,747,,175198,116,Genus fossil age,76,mya,22,Derived from textual description,154,raw_value,,,,,
134535,1,113,354,Goniopora tantillus,1,Global estimate,,,201,,175201,116,Genus fossil age,76,mya,22,Derived from textual description,93.5,raw_value,,,,,
134536,1,113,354,Goniopora tantillus,1,Global estimate,,,201,281,175202,116,Genus fossil age,76,mya,22,Derived from textual description,83.5,raw_value,,,,, sepkoski cites Turnsek 1989  pbdb seems solid.
134531,1,113,354,Goniopora tantillus,1,Global estimate,,,747,,175197,208,Genus fossil stage,10,cat,22,Derived from textual description,Kimmeridgian,raw_value,,,,,
134533,1,113,354,Goniopora tantillus,1,Global estimate,,,10,,175199,208,Genus fossil stage,10,cat,22,Derived from textual description,Eocene,raw_value,,,,,
134537,1,113,830,Goniopora tenella,1,Global estimate,,,747,,175203,208,Genus fossil stage,10,cat,22,Derived from textual description,Kimmeridgian,raw_value,,,,,
134541,1,113,830,Goniopora tenella,1,Global estimate,,,201,,175207,116,Genus fossil age,76,mya,22,Derived from textual description,93.5,raw_value,,,,,
134540,1,113,830,Goniopora tenella,1,Global estimate,,,10,,175206,116,Genus fossil age,76,mya,22,Derived from textual description,54.8,raw_value,,,,,
134539,1,113,830,Goniopora tenella,1,Global estimate,,,10,,175205,208,Genus fossil stage,10,cat,22,Derived from textual description,Eocene,raw_value,,,,,
134538,1,113,830,Goniopora tenella,1,Global estimate,,,747,,175204,116,Genus fossil age,76,mya,22,Derived from textual description,154,raw_value,,,,,
120410,1,49,830,Goniopora tenella,1,Global estimate,,,745,,144434,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,0.504721686282785,model_derived,0.462827574192258,standard_deviation,,1000,
134542,1,113,830,Goniopora tenella,1,Global estimate,,,201,281,175208,116,Genus fossil age,76,mya,22,Derived from textual description,83.5,raw_value,,,,, sepkoski cites Turnsek 1989  pbdb seems solid.
120411,1,49,831,Goniopora tenuidens,1,Global estimate,,,745,,144435,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,0.538269845676901,model_derived,0.480869810487726,standard_deviation,,1000,
134543,1,113,831,Goniopora tenuidens,1,Global estimate,,,747,,175209,208,Genus fossil stage,10,cat,22,Derived from textual description,Kimmeridgian,raw_value,,,,,
134548,1,113,831,Goniopora tenuidens,1,Global estimate,,,201,281,175214,116,Genus fossil age,76,mya,22,Derived from textual description,83.5,raw_value,,,,, sepkoski cites Turnsek 1989  pbdb seems solid.
134547,1,113,831,Goniopora tenuidens,1,Global estimate,,,201,,175213,116,Genus fossil age,76,mya,22,Derived from textual description,93.5,raw_value,,,,,
134546,1,113,831,Goniopora tenuidens,1,Global estimate,,,10,,175212,116,Genus fossil age,76,mya,22,Derived from textual description,54.8,raw_value,,,,,
134544,1,113,831,Goniopora tenuidens,1,Global estimate,,,747,,175210,116,Genus fossil age,76,mya,22,Derived from textual description,154,raw_value,,,,,
134545,1,113,831,Goniopora tenuidens,1,Global estimate,,,10,,175211,208,Genus fossil stage,10,cat,22,Derived from textual description,Eocene,raw_value,,,,,
120202,1,49,832,Guynia annulata,1,Global estimate,,,745,,144226,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,183.921810556137,model_derived,0.0251947096914616,standard_deviation,,1000,
134553,1,113,833,Gyrosmilia interrupta,1,Global estimate,,,201,,175219,116,Genus fossil age,76,mya,22,Derived from textual description,11.2,raw_value,,,,,
134554,1,113,833,Gyrosmilia interrupta,1,Global estimate,,,201,281,175220,116,Genus fossil age,76,mya,22,Derived from textual description,15.97,raw_value,,,,,Indo  Kenya pbdb solid...
134549,1,113,833,Gyrosmilia interrupta,1,Global estimate,,,748,,175215,208,Genus fossil stage,10,cat,22,Derived from textual description,Recent,raw_value,,,,,
120208,1,49,833,Gyrosmilia interrupta,1,Global estimate,,,745,,144232,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,1.55442288448549,model_derived,1.54841652935322,standard_deviation,,1000,
134559,1,113,834,Halomitra clavator,1,Global estimate,,,10,,175225,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
134555,1,113,834,Halomitra clavator,1,Global estimate,,,748,,175221,208,Genus fossil stage,10,cat,22,Derived from textual description,Recent,raw_value,,,,,
134558,1,113,834,Halomitra clavator,1,Global estimate,,,747,,175224,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
134562,1,113,834,Halomitra clavator,1,Global estimate,,,201,281,175228,116,Genus fossil age,76,mya,22,Derived from textual description,3.6,raw_value,,,,,Java Sepkoski is wrong  Veron is an uncited 'miocene of the Pacific and Tethys'  pbdb is a single occurrence  Hoeksema: Miocene Java
134557,1,113,834,Halomitra clavator,1,Global estimate,,,747,,175223,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
134560,1,113,834,Halomitra clavator,1,Global estimate,,,10,,175226,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
134561,1,113,834,Halomitra clavator,1,Global estimate,,,201,,175227,116,Genus fossil age,76,mya,22,Derived from textual description,220.7,raw_value,,,,,
120170,1,49,834,Halomitra clavator,1,Global estimate,,,745,,144194,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,1.88841575429646,model_derived,1.87306154950233,standard_deviation,,1000,
134570,1,113,836,Halomitra pileus,1,Global estimate,,,201,281,175236,116,Genus fossil age,76,mya,22,Derived from textual description,3.6,raw_value,,,,,Java Sepkoski is wrong  Veron is an uncited 'miocene of the Pacific and Tethys'  pbdb is a single occurrence  Hoeksema: Miocene Java
134569,1,113,836,Halomitra pileus,1,Global estimate,,,201,,175235,116,Genus fossil age,76,mya,22,Derived from textual description,220.7,raw_value,,,,,
120171,1,49,836,Halomitra pileus,1,Global estimate,,,745,,144195,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,1.78822592152004,model_derived,1.83237165038103,standard_deviation,,1000,
134567,1,113,836,Halomitra pileus,1,Global estimate,,,10,,175233,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
134566,1,113,836,Halomitra pileus,1,Global estimate,,,747,,175232,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
134568,1,113,836,Halomitra pileus,1,Global estimate,,,10,,175234,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
134565,1,113,836,Halomitra pileus,1,Global estimate,,,747,,175231,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
134563,1,113,836,Halomitra pileus,1,Global estimate,,,748,,175229,208,Genus fossil stage,10,cat,22,Derived from textual description,Recent,raw_value,,,,,
134573,1,113,837,Heliofungia actiniformis,1,Global estimate,,,10,,175239,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
134575,1,113,837,Heliofungia actiniformis,1,Global estimate,,,201,,175241,116,Genus fossil age,76,mya,22,Derived from textual description,11.2,raw_value,,,,,
134571,1,113,837,Heliofungia actiniformis,1,Global estimate,,,747,,175237,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
134572,1,113,837,Heliofungia actiniformis,1,Global estimate,,,747,,175238,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
134574,1,113,837,Heliofungia actiniformis,1,Global estimate,,,10,,175240,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
120172,1,49,837,Heliofungia actiniformis,1,Global estimate,,,745,,144196,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,8.61993520401838,model_derived,0.00537392694885359,standard_deviation,,1000,
134576,1,113,837,Heliofungia actiniformis,1,Global estimate,,,201,281,175242,116,Genus fossil age,76,mya,22,Derived from textual description,1.81,raw_value,,,,,Java Miocene  Java: Hoeksema 1990
134580,1,113,739,Heliofungia fralinae,1,Global estimate,,,10,,175246,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
120173,1,49,739,Heliofungia fralinae,1,Global estimate,,,745,,144197,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,12.9809042863491,model_derived,0.00553055535321221,standard_deviation,,1000,
134578,1,113,739,Heliofungia fralinae,1,Global estimate,,,747,,175244,116,Genus fossil age,76,mya,22,Derived from textual description,23.8,raw_value,,,,,
134577,1,113,739,Heliofungia fralinae,1,Global estimate,,,747,,175243,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
134579,1,113,739,Heliofungia fralinae,1,Global estimate,,,10,,175245,208,Genus fossil stage,10,cat,22,Derived from textual description,Miocene,raw_value,,,,,
134581,1,113,739,Heliofungia fralinae,1,Global estimate,,,201,,175247,116,Genus fossil age,76,mya,22,Derived from textual description,11.2,raw_value,,,,,
134582,1,113,739,Heliofungia fralinae,1,Global estimate,,,201,281,175248,116,Genus fossil age,76,mya,22,Derived from textual description,1.81,raw_value,,,,,Java Miocene  Java: Hoeksema 1990
119432,1,49,838,Helioseris cucullata,1,Global estimate,,,745,,143456,164,Species age phylogeny,76,mya,70,MCMC phylogenetic tip length,10.0968694652971,model_derived,0.0245067617744132,standard_deviation,,1000,
134585,1,113,1374,Herpolitha limax,1,Global estimate,,,747,,175251,208,Genus fossil stage,10,cat,22,Derived from textual description,Pliocene,raw_value,,,,,
134583,1,113,1374,Herpolitha limax,1,Global estimate,,,748,,175249,208,Genus fossil stage,10,cat,22,Derived from textual description,Recent,raw_value,,,,,
