"n","area_f","area_e","area_fe","area_fer","area_cli","area_rand","area_rand_lo","area_rand_hi","spread_f","spread_e","spread_fe","spread_fer","spread_cli","spread_rand","spread_rand_lo","spread_rand_hi","celln5_f","celln5_e","celln5_fe","celln5_fer","celln5_cli","celln5_rand","celln5_rand_lo","celln5_rand_hi","cellm5_f","cellm5_e","cellm5_fe","cellm5_fer","cellm5_cli","cellm5_rand","cellm5_rand_lo","cellm5_rand_hi","celln10_f","celln10_e","celln10_fe","celln10_fer","celln10_cli","celln10_rand","celln10_rand_lo","celln10_rand_hi","cellm10_f","cellm10_e","cellm10_fe","cellm10_fer","cellm10_cli","cellm10_rand","cellm10_rand_lo","cellm10_rand_hi"
351,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.7072977273337,23.434006682543,0.10686073859162,0.106032537666275,0.106338056256563,0.106273218913458,NA,0.104088616795821,0.102140075623577,0.105502366354226,21,21,21,21,NA,21,20,21,16.7142857142857,16.7142857142857,16.7142857142857,16.7142857142857,NA,16.7142857142857,16.7142857142857,17.55,53,53,53,53,NA,53,52,53,6.62264150943396,6.62264150943396,6.62264150943396,6.62264150943396,NA,6.62264150943396,6.62264150943396,6.75
350,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.7072977273337,23.434006682543,0.107202769362219,0.105505840150108,0.106741399760835,0.106480346491843,NA,0.104176920989103,0.102233261627421,0.105728392315063,21,21,21,21,NA,21,20,21,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,NA,16.6666666666667,16.6666666666667,17.5,53,53,53,53,NA,53,52,53,6.60377358490566,6.60377358490566,6.60377358490566,6.60377358490566,NA,6.60377358490566,6.60377358490566,6.73076923076923
349,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.7072977273337,23.434006682543,0.107556060838224,0.106094282173659,0.106885253416572,0.107192713882411,NA,0.104282646883288,0.102129968995364,0.105899621761461,21,21,21,21,NA,21,20,21,16.6190476190476,16.6190476190476,16.6190476190476,16.6190476190476,NA,16.6190476190476,16.6190476190476,17.45,53,53,53,53,NA,53,52,53,6.58490566037736,6.58490566037736,6.58490566037736,6.58490566037736,NA,6.58490566037736,6.58490566037736,6.71153846153846
348,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.7072977273337,23.434006682543,0.107894259434776,0.107087147732312,0.107367218193541,0.107568937492932,NA,0.104404099012569,0.102267229316406,0.106271735732417,21,21,21,21,NA,21,20,21,16.5714285714286,16.5714285714286,16.5714285714286,16.5714285714286,NA,16.5714285714286,16.5714285714286,17.4,53,53,53,53,NA,53,52,53,6.56603773584906,6.56603773584906,6.56603773584906,6.56603773584906,NA,6.56603773584906,6.56603773584906,6.69230769230769
347,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.7072977273337,23.434006682543,0.108276785794767,0.107152293248649,0.107791905764882,0.108054261488499,NA,0.10460831419343,0.102357068852399,0.106442754266427,21,21,21,21,NA,21,20,21,16.5238095238095,16.5238095238095,16.5238095238095,16.5238095238095,NA,16.5238095238095,16.5238095238095,17.35,53,53,53,53,NA,53,51,53,6.54716981132075,6.54716981132075,6.54716981132075,6.54716981132075,NA,6.54716981132075,6.54716981132075,6.80392156862745
346,23.434006682543,23.434006682543,23.434006682543,23.434006682543,NA,23.434006682543,22.7072977273337,23.434006682543,0.108557934404222,0.107794555130845,0.108124343124509,0.108699130215319,NA,0.104730431556165,0.102349956394501,0.106620546123757,21,21,21,21,NA,21,20,21,16.4761904761905,16.4761904761905,16.4761904761905,16.4761904761905,NA,16.4761904761905,16.4761904761905,17.3,53,53,53,53,NA,53,51,53,6.52830188679245,6.52830188679245,6.52830188679245,6.52830188679245,NA,6.52830188679245,6.52830188679245,6.7843137254902
345,23.434006682543,23.434006682543,23.434006682543,23.3567567761853,NA,23.434006682543,22.7072977273337,23.434006682543,0.108928588619192,0.107440897955124,0.108270580193274,0.108988664302014,NA,0.104864171377526,0.102407184229487,0.106853781162036,21,21,21,21,NA,21,20,21,16.4285714285714,16.4285714285714,16.4285714285714,16.4285714285714,NA,16.4285714285714,16.4285714285714,17.25,53,53,53,53,NA,53,51,53,6.50943396226415,6.50943396226415,6.50943396226415,6.50943396226415,NA,6.50943396226415,6.50943396226415,6.76470588235294
344,23.434006682543,23.434006682543,23.434006682543,23.3567567761853,NA,23.434006682543,22.7072977273337,23.434006682543,0.109361518728729,0.107854482455687,0.108627210684457,0.109406748123353,NA,0.105016530001498,0.102641891881438,0.107052182040071,21,21,21,21,NA,21,20,21,16.3809523809524,16.3809523809524,16.3809523809524,16.3809523809524,NA,16.3809523809524,16.3809523809524,17.2,53,53,53,53,NA,53,51,53,6.49056603773585,6.49056603773585,6.49056603773585,6.49056603773585,NA,6.49056603773585,6.49056603773585,6.74509803921569
343,23.434006682543,23.434006682543,23.434006682543,23.3567567761853,NA,23.434006682543,22.702596335405,23.434006682543,0.109672405603205,0.108182579998862,0.108900283874625,0.110016856502923,NA,0.105085804766909,0.102700214463842,0.107217528497958,21,21,21,21,NA,21,20,21,16.3333333333333,16.3333333333333,16.3333333333333,16.3333333333333,NA,16.3333333333333,16.3333333333333,17.15,53,53,53,53,NA,53,51,53,6.47169811320755,6.47169811320755,6.47169811320755,6.47169811320755,NA,6.47169811320755,6.47169811320755,6.72549019607843
342,23.434006682543,23.434006682543,23.434006682543,23.3567567761853,NA,23.434006682543,22.6724142318574,23.434006682543,0.109979327617193,0.108538867243659,0.109232398666228,0.110227674582974,NA,0.105274554700842,0.102594629354504,0.107369733393054,21,21,21,21,NA,21,20,21,16.2857142857143,16.2857142857143,16.2857142857143,16.2857142857143,NA,16.2857142857143,16.2857142857143,17.1,53,53,53,53,NA,53,51,53,6.45283018867925,6.45283018867925,6.45283018867925,6.45283018867925,NA,6.45283018867925,6.45283018867925,6.70588235294118
